sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,quadrat_area_m2,Tt_count,Tt_seed,Sf_count,Hw_count,Hal_count,Udo_count,Pen_count,Drift_count,Sponge_count,notes
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,6/6/2025,t0,B,0.0625,27,0,0,0,3,0,0,,,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,6/6/2025,t0,C,0.0625,39,0,0,0,1,0,1,,,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,6/6/2025,t0,A,0.0625,21,0,0,3,18,0,3,,,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,6/6/2025,t0,B,0.0625,12,0,0,78,13,0,1,,,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,6/6/2025,t0,C,0.0625,18,0,0,22,19,0,0,,,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,6/9/2025,t0,A,0.0625,4,0,0,0,0,0,0,,,
PSD25_S2.1_t0_B,PSD25,Craig Key,S2.1,2,1,6/9/2025,t0,B,0.0625,0,0,0,0,0,0,0,,,
PSD25_S2.1_t0_C,PSD25,Craig Key,S2.1,2,1,6/9/2025,t0,C,0.0625,0,0,0,0,0,0,0,,,
PSD25_S2.2_t0_A,PSD25,Craig Key,S2.2,2,2,6/9/2025,t0,A,0.0625,21,0,0,0,0,0,0,,,
PSD25_S2.2_t0_B,PSD25,Craig Key,S2.2,2,2,6/9/2025,t0,B,0.0625,16,0,0,0,0,0,0,,,
PSD25_S2.2_t0_C,PSD25,Craig Key,S2.2,2,2,6/9/2025,t0,C,0.0625,28,0,0,0,0,0,0,,,
PSD25_S2.3_t0_A,PSD25,Craig Key,S2.3,2,3,6/9/2025,t0,A,0.0625,9,0,0,0,6,0,0,,,
PSD25_S2.3_t0_B,PSD25,Craig Key,S2.3,2,3,6/9/2025,t0,B,0.0625,1,0,0,0,26,0,3,,,
PSD25_S2.3_t0_C,PSD25,Craig Key,S2.3,2,3,6/9/2025,t0,C,0.0625,0,0,0,0,24,0,7,,,sf 3? See go pro photos
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,6/9/2025,t0,A,0.0625,29,0,0,0,13,0,1,,,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,6/9/2025,t0,B,0.0625,29,0,0,0,9,0,2,,,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,6/9/2025,t0,C,0.0625,26,0,0,0,13,0,1,,,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,6/9/2025,t0,A,0.0625,29,0,0,0,8,0,1,,,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,6/9/2025,t0,B,0.0625,32,0,0,0,9,0,4,,,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,6/9/2025,t0,C,0.0625,26,0,0,0,19,0,1,,,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,6/9/2025,t0,A,0.0625,43,0,0,0,0,0,0,,,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,6/9/2025,t0,B,0.0625,43,0,0,0,2,0,4,,,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,6/9/2025,t0,C,0.0625,55,0,0,0,6,0,1,,,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,A,0.0625,5,0,4,55,0,0,3,,,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,B,0.0625,8,0,2,31,0,0,2,,,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,C,0.0625,3,0,0,73,1,0,0,,,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,A,0.0625,26,0,0,205,0,0,0,,,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,B,0.0625,46,0,0,78,2,0,0,,,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,C,0.0625,53,0,0,29,1,0,0,,,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,A,0.0625,10,0,0,0,0,0,0,,,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,B,0.0625,13,0,0,0,1,0,1,,,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,C,0.0625,19,0,0,0,4,0,0,,,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,6/16/2025,t0,A,0.0625,38,0,0,0,4,0,2,,,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,6/16/2025,t0,B,0.0625,48,0,0,0,3,0,0,,,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,6/16/2025,t0,C,0.0625,34,0,0,0,0,0,0,,,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,6/16/2025,t0,A,0.0625,37,0,0,0,8,0,0,,,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,6/16/2025,t0,B,0.0625,46,0,0,0,5,0,0,,,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,6/16/2025,t0,C,0.0625,38,0,0,0,2,0,0,,,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,6/16/2025,t0,A,0.0625,26,0,0,0,4,0,2,,,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,6/16/2025,t0,B,0.0625,29,0,0,0,5,0,4,,,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,6/16/2025,t0,C,0.0625,43,0,0,0,6,0,2,,,
